vertex,name,kc,maxl,cpu,ram,bw,(posx),(posy)
182,137,2,3,30,500,500,2212,1187
183,138,2,3,30,500,500,2462,1131
184,139,2,3,20,500,300,2056,1965
185,140,2,3,20,500,300,2306,1798
187,141,1,2,0,0,200,2431,1909
189,142,1,2,0,0,200,2369,1514
190,143,1,2,0,0,200,2244,1847
191,144,2,3,20,500,300,2494,1681
192,145,2,3,30,500,500,2005,2125
194,146,2,3,20,500,300,2130,2292
196,147,1,2,0,0,200,2068,2403
197,148,2,3,20,500,300,2318,2236
198,149,1,2,0,0,200,2193,2051
199,150,1,4,0,0,200,2443,2384
