start,end,weight
70,78,1
71,104,1
72,74,1
72,78,1
73,74,1
73,76,1
73,77,1
73,79,1
74,77,1
74,78,1
75,77,1
75,78,1
75,116,1
77,79,1
77,112,1
79,112,1
79,116,1
79,118,1
80,82,1
80,84,1
80,86,1
81,83,1
81,84,1
81,87,1
82,84,1
82,85,1
82,86,1
82,90,1
83,86,1
83,87,1
83,120,1
84,86,1
85,86,1
85,90,1
85,93,1
87,120,1
88,92,1
88,94,1
88,96,1
89,90,1
89,91,1
89,92,1
89,93,1
89,95,1
89,128,1
90,92,1
90,93,1
91,93,1
91,94,1
91,95,1
91,99,1
91,128,1
91,130,1
93,95,1
93,128,1
93,132,1
94,99,1
94,101,1
94,102,1
95,99,1
95,128,1
95,130,1
95,132,1
95,134,1
96,98,1
96,102,1
97,98,1
97,100,1
97,101,1
97,103,1
97,105,1
97,108,1
98,100,1
98,101,1
98,102,1
99,101,1
99,102,1
99,130,1
100,108,1
101,102,1
103,105,1
103,111,1
103,136,1
103,140,1
103,144,1
104,106,1
104,110,1
105,107,1
105,108,1
105,110,1
105,111,1
105,144,1
106,109,1
106,110,1
106,114,1
106,117,1
107,109,1
107,110,1
107,111,1
107,144,1
107,146,1
108,110,1
109,110,1
109,117,1
111,144,1
111,146,1
111,150,1
112,116,1
112,118,1
113,115,1
113,116,1
113,117,1
113,118,1
113,119,1
114,116,1
114,117,1
115,118,1
115,119,1
115,152,1
116,118,1
117,119,1
117,148,1
119,152,1
119,156,1
120,122,1
120,126,1
121,122,1
121,124,1
121,125,1
121,127,1
121,129,1
121,135,1
121,160,1
121,168,1
122,124,1
122,125,1
123,125,1
123,126,1
123,162,1
123,164,1
124,129,1
124,132,1
125,127,1
125,135,1
125,160,1
125,164,1
127,135,1
127,160,1
127,164,1
127,166,1
127,168,1
128,132,1
128,134,1
129,131,1
129,132,1
129,134,1
129,135,1
130,133,1
130,134,1
130,138,1
130,141,1
131,133,1
131,134,1
131,172,1
132,134,1
133,134,1
133,141,1
135,160,1
135,168,1
136,140,1
136,142,1
136,144,1
137,138,1
137,140,1
137,141,1
137,142,1
137,143,1
138,140,1
138,141,1
139,142,1
139,143,1
139,147,1
139,176,1
139,178,1
140,142,1
141,143,1
141,180,1
142,150,1
143,176,1
143,180,1
143,182,1
144,146,1
144,150,1
145,146,1
145,148,1
145,149,1
145,151,1
145,153,1
146,149,1
146,150,1
147,149,1
147,150,1
147,188,1
148,153,1
148,156,1
149,151,1
149,153,1
151,153,1
151,159,1
151,184,1
151,192,1
152,154,1
152,156,1
152,158,1
153,155,1
153,156,1
153,159,1
153,192,1
154,156,1
154,157,1
154,158,1
155,158,1
155,159,1
155,192,1
155,194,1
156,158,1
157,158,1
157,196,1
159,184,1
159,192,1
159,198,1
160,166,1
160,168,1
161,163,1
161,164,1
161,165,1
161,166,1
161,167,1
162,164,1
162,165,1
163,165,1
163,166,1
163,167,1
163,171,1
165,167,1
166,168,1
166,171,1
166,174,1
168,170,1
168,174,1
169,170,1
169,172,1
169,173,1
169,174,1
169,175,1
169,177,1
169,180,1
170,172,1
170,173,1
170,174,1
171,173,1
171,174,1
172,180,1
173,174,1
175,177,1
175,183,1
176,178,1
176,182,1
177,179,1
177,180,1
177,182,1
177,183,1
178,181,1
178,182,1
178,186,1
178,189,1
179,181,1
179,182,1
179,183,1
180,182,1
181,182,1
181,189,1
184,188,1
184,190,1
184,192,1
184,198,1
185,187,1
185,188,1
185,190,1
185,191,1
186,188,1
186,189,1
187,190,1
187,191,1
187,195,1
188,190,1
189,191,1
190,198,1
192,194,1
192,198,1
193,194,1
193,196,1
193,197,1
193,199,1
194,196,1
194,197,1
194,198,1
195,197,1
195,198,1
197,198,1
197,199,1
